7:302,29,3234,495,692,4025,16288,14617,915,5961
18:17608,534,54038,43893,32205,63512,85561,47812,114848,25266
36:472,594,812,3046,7506,326,15242,819,9717,439
43:2983,2345,14761,15676,6977,1678,29732,14906,7031,7736
45:347,74038,79096,65060,56414,12216,33237,53016,50457,117814
70:69282,899,239,48,1187,546,496,3,30,726
150:861,1424,15583,11459,153,917,2158,16595,20440,77283
177:29,3234,749,1476,692,4025,16288,14617,915,4563
211:11559,21311,59288,49125,57822,73814,31772,102047,84203,106950
224:4797,15627,7126,68162,15846,24044,45229,51115,53543,14867
232:77322,120622,109145,108129,100265,99135,86134,85366,83516,78975
253:1206,3141,10256,4568,7859,11725,6601,21771,15608,14401
272:239,726,2868,395,1567,837,2361,5025,6284,14758
294:899,48,1187,472,594,812,3046,7506,326,15242
328:319,239,3,726,2868,395,1567,837,2361,5025
331:11208,11888,12362,5511,1829,8649,30747,21873,29745,18525
361:1086,1762,2570,2526,5421,20734,19529,20913,41190,43053
410:354,1499,278,2430,2976,1147,829,5638,3211,1740
490:15583,153,917,2158,16595,20440,1382,3250,194,3288
500:14750,12253,8861,4756,8197,5080,1912,4075,7795,21171
535:17,29,861,239,3234,749,1476,3,591,726
618:221,7806,15141,5157,11506,13206,7264,62001,13150,36526
624:3915,3864,3190,4966,8514,5827,6266,4485,9368,5450
632:5246,1937,76752,16386,52165,103249,79189,40478,36398,35960
634:4697,4967,559,367,2115,1600,4907,9916,22689,12332
684:11470,22890,29161,11984,32348,54703,25405,35577,30357,74686
715:21926,12861,10722,14375,31045,7658,11946,23367,4585,50042
716:8042,9696,10254,56166,25928,93555,36223,33321,7085,76518
757:118900,53935,59102,69672,73104,73926,84478,108557,108804,109012
803:138,1119,496,449,472,521,594,380,1622,4048
844:1762,2570,5421,19529,41190,26834,14136,10996,20631,74027
850:354,546,1499,22,1044,278,2430,4068,2976,5638
891:254,7194,4932,17934,2638,81900,22134,88980,112071,83675
900:398,2447,3829,4126,24211,8209,3180,3634,16155,15395
911:87631,54338,35657,37143,84202,121921,43375,119249,6303,1677
925:20277,7407,370,14328,13901,52521,27108,13269,53142,1091
